match_id,format,innings_no,team,bowler,legal_balls,overs_text,overs_decimal,maidens,runs_conceded,wickets,wides,no_balls,dot_balls,boundary_balls_conceded,economy,bowling_strike_rate,bowling_average
test_2016-10-20_bangladesh_england_1029825,Test,2,England,SCJ Broad,48,8.0,8.0,2,12,0,0,0,42,1,1.5,,
test_2016-10-20_bangladesh_england_1029825,Test,2,England,GJ Batty,102,17.0,17.0,1,51,1,0,0,71,4,3.0,102.0,51.0
test_2016-10-20_bangladesh_england_1029825,Test,2,England,CR Woakes,42,7.0,7.0,2,15,0,1,0,31,1,2.14,,
test_2016-10-20_bangladesh_england_1029825,Test,2,England,AU Rashid,96,16.0,16.0,1,58,2,0,0,61,6,3.62,48.0,29.0
test_2016-10-20_bangladesh_england_1029825,Test,2,England,MM Ali,132,22.0,22.0,4,75,3,0,0,89,8,3.41,44.0,25.0
test_2016-10-20_bangladesh_england_1029825,Test,2,England,BA Stokes,84,14.0,14.0,5,26,4,0,0,70,4,1.86,21.0,6.5
test_2016-10-20_bangladesh_england_1029825,Test,2,England,JE Root,12,2.0,2.0,0,5,0,0,0,10,1,2.5,,
test_2016-10-20_bangladesh_england_1029825,Test,3,Bangladesh,Mehedi Hasan Miraz,120,20.0,20.0,1,58,1,0,0,81,5,2.9,120.0,58.0
test_2016-10-20_bangladesh_england_1029825,Test,3,Bangladesh,Shakib Al Hasan,198,33.0,33.0,7,90,5,0,0,143,9,2.73,39.6,18.0
test_2016-10-20_bangladesh_england_1029825,Test,3,Bangladesh,Taijul Islam,92,15.2,15.333,2,41,2,0,0,70,4,2.67,46.0,20.5
test_2016-10-20_bangladesh_england_1029825,Test,3,Bangladesh,Kamrul Islam Rabbi,48,8.0,8.0,0,24,1,0,0,32,3,3.0,48.0,24.0
test_2016-10-20_bangladesh_england_1029825,Test,3,Bangladesh,Mahmudullah,6,1.0,1.0,0,6,0,0,0,3,1,6.0,,
test_2016-10-20_bangladesh_england_1029825,Test,3,Bangladesh,Shafiul Islam,18,3.0,3.0,0,10,0,0,0,11,1,3.33,,
test_2016-10-20_bangladesh_england_1029825,Test,4,England,GJ Batty,102,17.0,17.0,3,65,3,0,0,68,7,3.82,34.0,21.67
test_2016-10-20_bangladesh_england_1029825,Test,4,England,MM Ali,84,14.0,14.0,2,60,2,0,0,52,8,4.29,42.0,30.0
test_2016-10-20_bangladesh_england_1029825,Test,4,England,CR Woakes,42,7.0,7.0,3,10,0,0,0,35,1,1.43,,
test_2016-10-20_bangladesh_england_1029825,Test,4,England,AU Rashid,102,17.0,17.0,2,55,1,0,0,63,2,3.24,102.0,55.0
test_2016-10-20_bangladesh_england_1029825,Test,4,England,SCJ Broad,90,15.0,15.0,4,31,2,0,0,68,2,2.07,45.0,15.5
test_2016-10-20_bangladesh_england_1029825,Test,4,England,BA Stokes,69,11.3,11.5,3,20,2,1,0,55,2,1.74,34.5,10.0
test_2016-10-28_bangladesh_england_1029827,Test,1,England,CR Woakes,54,9.0,9.0,3,30,3,0,0,43,6,3.33,18.0,10.0
